PlayerID,PlayerSurname,PlayerForename,Team,TeamId,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
42361800,Abdulelah Alamri,,Al-Wahda,684700,2100.0,14600.0,5100.0,100.0,400,0,20200,201800,1700,600,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,300,3000,1900,500,700,2300,600,200,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5739,10000,9452,8627,25500,0,0,0,0,0,0,0,0,500
21416600,Abdulelah Almalki,,Al-Wahda,684700,5800.0,8900.0,10800.0,800.0,600,200,20200,201800,6600,500,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,200,0,1200,1600,1800,1400,500,400,100,400,100,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7245,9828,9213,9352,27500,100,0,300,0,0,0,0,0,400
44468300,Abdulfattah Adam,,Al-Taawon,677800,6400.0,6500.0,6000.0,2900.0,800,300,20200,201800,22000,7100,700,100,0,0,0,100,100,100,500,500,600,100,0,0,100,1300,0,2000,2500,200,800,1400,2200,0,400,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5897,8594,7385,7333,24400,400,5000,1600,8125,0,0,0,0,1000
15279500,Abdulfattah Asiri,,Al-Ahli,677000,6500.0,10000.0,4400.0,2500.0,1200,400,20200,201800,22300,4100,300,0,0,0,0,0,0,0,500,200,300,100,0,0,400,1600,0,3000,3000,1500,1300,100,600,0,300,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6132,9385,8000,6818,32700,1500,4000,200,5000,0,0,0,0,400
43103400,Abdulkarim Al-Qahtani,,Al-Feiha,1048300,6400.0,9700.0,8500.0,1800.0,700,100,20200,201800,15000,2300,100,0,0,0,0,0,0,0,100,100,100,100,0,0,200,1100,0,2200,1600,1300,1700,400,1000,600,200,200,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4396,9062,7526,8000,30800,200,5000,200,5000,0,0,0,0,800
43238000,Abdullah Al Yousif,,Al-Fateh,677200,4300.0,500.0,10900.0,400.0,900,0,20200,201800,6500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,200,100,2200,2200,200,100,1000,300,500,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5667,10000,8000,8349,24600,0,0,0,0,0,0,0,0,0
8368400,Abdullah Al Zoari,,Al-Wahda,684700,9100.0,4800.0,27100.0,1700.0,1800,600,20200,201800,22200,3600,200,0,0,0,0,0,0,0,100,100,100,100,0,0,0,700,0,1700,2000,2600,2200,700,700,1500,1200,100,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6648,9890,8958,9188,63800,700,4286,0,0,0,0,0,0,0
19737200,Abdullah Al-Amar,,Al-Fateh,677200,3900.0,700.0,11500.0,500.0,500,100,20200,201800,7800,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,900,1000,1600,1600,0,0,500,500,100,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6867,9487,8571,9130,25300,0,0,0,0,100,0,0,0,0
19737200,Abdullah Al-Amar,,Al-Ittihad,131600,500.0,0.0,0.0,0.0,0,0,20200,201800,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,8000,0,0,1100,0,0,0,0,0,0,0,0,700
14850300,Abdallah El Said,,Al-Ahli,677000,14900.0,16100.0,12200.0,2500.0,1400,500,20200,201800,25100,3500,500,0,0,0,0,0,0,0,700,100,200,400,0,0,200,900,0,1600,2100,800,2000,0,700,100,700,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533,9463,9006,9016,53900,400,7500,1400,5714,0,0,0,0,1000
